date,Cooling input energy,Fan input energy,Heating input energy,asset
2025-03-16 00:00:00,0,0,0,FCU 02/01
2025-03-17 00:00:00,0,0.2499958056,1.6768685337,FCU 02/01
2025-03-18 00:00:00,0,0,0,FCU 02/01
2025-03-19 00:00:00,0,0,0,FCU 02/01
2025-03-20 00:00:00,0,0,0,FCU 02/01
2025-03-21 00:00:00,0,0,0,FCU 02/01
2025-03-22 00:00:00,0,0,0,FCU 02/01
2025-03-23 00:00:00,0,0,0,FCU 02/01
2025-03-24 00:00:00,0,0.2428744628,1.3840497298,FCU 02/01
2025-03-25 00:00:00,0,0,0,FCU 02/01
2025-03-26 00:00:00,0,0,0,FCU 02/01
2025-03-27 00:00:00,0,0,0,FCU 02/01
2025-03-28 00:00:00,0,0,0,FCU 02/01
2025-03-29 00:00:00,0,0,0,FCU 02/01
2025-03-30 00:00:00,0,0,0,FCU 02/01
2025-03-31 00:00:00,0,0.0884621841,0.4557775906,FCU 02/01
2025-04-01 00:00:00,0,0,0,FCU 02/01
2025-04-02 00:00:00,0,0,0,FCU 02/01
2025-04-03 00:00:00,0,0,0,FCU 02/01
2025-04-04 00:00:00,0,0,0,FCU 02/01
2025-04-05 00:00:00,0,0,0,FCU 02/01
2025-04-06 00:00:00,0,0,0,FCU 02/01
2025-04-07 00:00:00,0,0.087989571,0.4768402084,FCU 02/01
2025-04-08 00:00:00,0,0,0,FCU 02/01
2025-04-09 00:00:00,0,0,0,FCU 02/01
2025-04-10 00:00:00,0,0,0,FCU 02/01
2025-04-11 00:00:00,0,0,0,FCU 02/01
2025-04-12 00:00:00,0,0,0,FCU 02/01
2025-04-13 00:00:00,0,0,0,FCU 02/01
2025-04-14 00:00:00,0,0.047673531,0.2343911568,FCU 02/01
2025-04-15 00:00:00,0,0,0,FCU 02/01
2025-04-16 00:00:00,0,0,0,FCU 02/01
2025-04-17 00:00:00,0,0,0,FCU 02/01
2025-04-18 00:00:00,0,0,0,FCU 02/01
2025-04-19 00:00:00,0,0,0,FCU 02/01
2025-04-20 00:00:00,0,0,0,FCU 02/01
2025-04-21 00:00:00,0,0.0803136043,0.4045831716,FCU 02/01
2025-04-22 00:00:00,0,0,0,FCU 02/01
2025-04-23 00:00:00,0,0,0,FCU 02/01
2025-04-24 00:00:00,0,0,0,FCU 02/01
2025-04-25 00:00:00,0,0,0,FCU 02/01
2025-04-26 00:00:00,0,0,0,FCU 02/01
2025-04-27 00:00:00,0,0,0,FCU 02/01
2025-04-28 00:00:00,0,0.030028117,0.0930988473,FCU 02/01
2025-04-29 00:00:00,0,0,0,FCU 02/01
2025-04-30 00:00:00,0,0,0,FCU 02/01
2025-05-01 00:00:00,0,0,0,FCU 02/01
2025-05-02 00:00:00,0,0,0,FCU 02/01
2025-05-03 00:00:00,0,0,0,FCU 02/01
2025-05-04 00:00:00,0,0,0,FCU 02/01
2025-05-05 00:00:00,0,0.0330882106,0.1123612416,FCU 02/01
2025-05-06 00:00:00,0,0,0,FCU 02/01
2025-05-07 00:00:00,0,0,0,FCU 02/01
2025-05-08 00:00:00,0,0,0,FCU 02/01
2025-05-09 00:00:00,0,0,0,FCU 02/01
2025-05-10 00:00:00,0,0,0,FCU 02/01
2025-05-11 00:00:00,0,0,0,FCU 02/01
2025-05-12 00:00:00,0,0.0124296823,0,FCU 02/01
2025-05-13 00:00:00,0,0,0,FCU 02/01
2025-05-14 00:00:00,0,0,0,FCU 02/01
2025-05-15 00:00:00,0,0,0,FCU 02/01
2025-05-16 00:00:00,0,0,0,FCU 02/01
2025-05-17 00:00:00,0,0,0,FCU 02/01
2025-05-18 00:00:00,0,0,0,FCU 02/01
2025-05-19 00:00:00,0,0.0243298116,0.046184453,FCU 02/01
2025-05-20 00:00:00,0,0,0,FCU 02/01
2025-05-21 00:00:00,0,0,0,FCU 02/01
2025-05-22 00:00:00,0,0,0,FCU 02/01
2025-05-23 00:00:00,0,0,0,FCU 02/01
2025-05-24 00:00:00,0,0,0,FCU 02/01
2025-05-25 00:00:00,0,0,0,FCU 02/01
2025-05-26 00:00:00,0,0.0187506406,0,FCU 02/01
2025-05-27 00:00:00,0,0,0,FCU 02/01
2025-05-28 00:00:00,0,0,0,FCU 02/01
2025-05-29 00:00:00,0,0,0,FCU 02/01
2025-05-30 00:00:00,0,0,0,FCU 02/01
2025-05-31 00:00:00,0,0,0,FCU 02/01
2025-06-01 00:00:00,0,0,0,FCU 02/01
2025-06-02 00:00:00,0,0.0062499653,0,FCU 02/01
2025-06-03 00:00:00,0,0,0,FCU 02/01
2025-06-04 00:00:00,0,0,0,FCU 02/01
2025-06-05 00:00:00,0,0,0,FCU 02/01
2025-06-06 00:00:00,0,0,0,FCU 02/01
2025-06-07 00:00:00,,,,FCU 02/01
2025-06-08 00:00:00,,,,FCU 02/01
2025-06-09 00:00:00,,,,FCU 02/01
2025-06-10 00:00:00,,,,FCU 02/01
2025-06-11 00:00:00,0,0,0,FCU 02/01
2025-06-12 00:00:00,0,0,0,FCU 02/01
2025-06-13 00:00:00,0,0,0,FCU 02/01
2025-06-14 00:00:00,0,0,0,FCU 02/01
2025-06-15 00:00:00,0,0,0,FCU 02/01
2025-06-16 00:00:00,0,0,0,FCU 02/01
2025-06-17 00:00:00,0,0,0,FCU 02/01
2025-06-18 00:00:00,0,0,0,FCU 02/01
2025-06-19 00:00:00,0,0,0,FCU 02/01
2025-06-20 00:00:00,0,0,0,FCU 02/01
2025-06-21 00:00:00,0,0,0,FCU 02/01
2025-06-22 00:00:00,0,0,0,FCU 02/01
2025-06-23 00:00:00,0,0,0,FCU 02/01
2025-06-24 00:00:00,0,0,0,FCU 02/01
2025-06-25 00:00:00,0,0,0,FCU 02/01
2025-06-26 00:00:00,0,0,0,FCU 02/01
2025-06-27 00:00:00,0,0,0,FCU 02/01
2025-06-28 00:00:00,0,0,0,FCU 02/01
2025-06-29 00:00:00,0,0,0,FCU 02/01
2025-06-30 00:00:00,0.2230163733,0.0478715176,0,FCU 02/01
2025-07-01 00:00:00,0,0,0,FCU 02/01
2025-07-02 00:00:00,0,0,0,FCU 02/01
2025-07-03 00:00:00,0,0,0,FCU 02/01
2025-07-04 00:00:00,0,0,0,FCU 02/01
2025-07-05 00:00:00,0,0,0,FCU 02/01
2025-07-06 00:00:00,0,0,0,FCU 02/01
2025-07-07 00:00:00,0,0,0,FCU 02/01
2025-07-08 00:00:00,0,0,0,FCU 02/01
2025-07-09 00:00:00,0,0,0,FCU 02/01
2025-07-10 00:00:00,0,0,0,FCU 02/01
2025-07-11 00:00:00,0,0,0,FCU 02/01
2025-07-12 00:00:00,0,0,0,FCU 02/01
2025-07-13 00:00:00,0,0,0,FCU 02/01
2025-07-14 00:00:00,0,0,0,FCU 02/01
2025-07-15 00:00:00,0,0,0,FCU 02/01
2025-07-16 00:00:00,0,0,0,FCU 02/01
2025-07-17 00:00:00,0,0,0,FCU 02/01
2025-07-18 00:00:00,0,0,0,FCU 02/01
2025-07-19 00:00:00,0,0,0,FCU 02/01
2025-07-20 00:00:00,0,0,0,FCU 02/01
2025-07-21 00:00:00,0,0,0,FCU 02/01
2025-07-22 00:00:00,0,0,0,FCU 02/01
2025-07-23 00:00:00,0,0,0,FCU 02/01
2025-07-24 00:00:00,0,0,0,FCU 02/01
2025-07-25 00:00:00,0,0,0,FCU 02/01
2025-07-26 00:00:00,0,0,0,FCU 02/01
2025-07-27 00:00:00,0,0,0,FCU 02/01
2025-07-28 00:00:00,0,0,0,FCU 02/01
2025-07-29 00:00:00,0,0,0,FCU 02/01
2025-07-30 00:00:00,0,0,0,FCU 02/01
2025-07-31 00:00:00,0,0,0,FCU 02/01
2025-08-01 00:00:00,0,0,0,FCU 02/01
2025-08-02 00:00:00,0,0,0,FCU 02/01
2025-08-03 00:00:00,0,0,0,FCU 02/01
2025-08-04 00:00:00,0,0,0,FCU 02/01
2025-08-05 00:00:00,0,0,0,FCU 02/01
2025-08-06 00:00:00,0,0,0,FCU 02/01
2025-08-07 00:00:00,0,0,0,FCU 02/01
2025-08-08 00:00:00,0,0,0,FCU 02/01
2025-08-09 00:00:00,0,0,0,FCU 02/01
2025-08-10 00:00:00,0,0,0,FCU 02/01
2025-08-11 00:00:00,0,0,0,FCU 02/01
2025-08-12 00:00:00,0,0,0,FCU 02/01
2025-08-13 00:00:00,0,0,0,FCU 02/01
2025-08-14 00:00:00,0,0,0,FCU 02/01
2025-08-15 00:00:00,0,0,0,FCU 02/01
2025-08-16 00:00:00,0,0,0,FCU 02/01
2025-08-17 00:00:00,0,0,0,FCU 02/01
2025-08-18 00:00:00,0,0,0,FCU 02/01
2025-08-19 00:00:00,0,0,0,FCU 02/01
2025-08-20 00:00:00,0,0,0,FCU 02/01
2025-08-21 00:00:00,0,0,0,FCU 02/01
2025-08-22 00:00:00,0,0,0,FCU 02/01
2025-08-23 00:00:00,0,0,0,FCU 02/01
2025-08-24 00:00:00,0,0,0,FCU 02/01
2025-08-25 00:00:00,0,0.0073192205,0,FCU 02/01
2025-08-26 00:00:00,0,0,0,FCU 02/01
2025-08-27 00:00:00,0,0,0,FCU 02/01
2025-08-28 00:00:00,0,0,0,FCU 02/01
2025-08-29 00:00:00,0,0,0,FCU 02/01
2025-08-30 00:00:00,0,0,0,FCU 02/01
2025-08-31 00:00:00,0,0,0,FCU 02/01
2025-09-01 00:00:00,0,0.0068371808,0,FCU 02/01
2025-09-02 00:00:00,0,0,0,FCU 02/01
2025-09-03 00:00:00,0,0,0,FCU 02/01
2025-09-04 00:00:00,0,0,0,FCU 02/01
2025-09-05 00:00:00,0,0,0,FCU 02/01
2025-09-06 00:00:00,0,0,0,FCU 02/01
2025-09-07 00:00:00,0,0,0,FCU 02/01
2025-09-08 00:00:00,0,0.0065904945,0,FCU 02/01
2025-09-09 00:00:00,0,0,0,FCU 02/01
2025-09-10 00:00:00,0,0,0,FCU 02/01
2025-09-11 00:00:00,0,0,0,FCU 02/01
2025-09-12 00:00:00,0,0,0,FCU 02/01
2025-09-13 00:00:00,0,0,0,FCU 02/01
2025-09-14 00:00:00,0,0,0,FCU 02/01
2025-09-15 00:00:00,0,0.0187789948,0,FCU 02/01
2025-09-16 00:00:00,0,0,0,FCU 02/01
2025-09-17 00:00:00,0,0,0,FCU 02/01
2025-09-18 00:00:00,0,0,0,FCU 02/01
2025-09-19 00:00:00,0,0,0,FCU 02/01
2025-09-20 00:00:00,0,0,0,FCU 02/01
2025-09-21 00:00:00,0,0,0,FCU 02/01
2025-09-22 00:00:00,0,0.0249155283,0.0195055834,FCU 02/01
2025-09-23 00:00:00,0,0,0,FCU 02/01
2025-09-24 00:00:00,0,0,0,FCU 02/01
2025-09-25 00:00:00,0,0,0,FCU 02/01
2025-09-26 00:00:00,0,0,0,FCU 02/01
2025-09-27 00:00:00,0,0,0,FCU 02/01
2025-09-28 00:00:00,0,0,0,FCU 02/01
2025-09-29 00:00:00,0,0.0187856163,0,FCU 02/01
2025-09-30 00:00:00,0,0,0,FCU 02/01
2025-10-01 00:00:00,0,0,0,FCU 02/01
2025-10-02 00:00:00,0,0,0,FCU 02/01
2025-10-03 00:00:00,0,0,0,FCU 02/01
2025-10-04 00:00:00,0,0,0,FCU 02/01
2025-10-05 00:00:00,0,0,0,FCU 02/01
2025-10-06 00:00:00,0,0.0207526878,0,FCU 02/01
2025-10-07 00:00:00,0,0,0,FCU 02/01
2025-10-08 00:00:00,0.9965306944,0.0687867118,0.0001299762,FCU 02/01
2025-10-09 00:00:00,0,0,0,FCU 02/01
2025-10-10 00:00:00,0,0,0,FCU 02/01
2025-10-11 00:00:00,0,0,0,FCU 02/01
2025-10-12 00:00:00,0,0,0,FCU 02/01
2025-10-13 00:00:00,0,0.0437863698,0,FCU 02/01
2025-10-14 00:00:00,0,0,0,FCU 02/01
2025-10-15 00:00:00,0,0,0,FCU 02/01
2025-10-16 00:00:00,0,0,0,FCU 02/01
2025-10-17 00:00:00,0,0,0,FCU 02/01
2025-10-18 00:00:00,0,0,0,FCU 02/01
2025-10-19 00:00:00,0,0,0,FCU 02/01
2025-10-20 00:00:00,0,0.1717702688,0,FCU 02/01
2025-10-21 00:00:00,0,0,0,FCU 02/01
2025-10-22 00:00:00,0,0,0,FCU 02/01
2025-10-23 00:00:00,0,0,0,FCU 02/01
2025-10-24 00:00:00,0,0,0,FCU 02/01
2025-10-25 00:00:00,0,0,0,FCU 02/01
2025-10-26 00:00:00,0,0,0,FCU 02/01
2025-10-27 00:00:00,0,0.2000086667,0,FCU 02/01
2025-10-28 00:00:00,0,0,0,FCU 02/01
2025-10-29 00:00:00,0,0,0,FCU 02/01
2025-10-30 00:00:00,0,0,0,FCU 02/01
2025-10-31 00:00:00,0,0,0,FCU 02/01
2025-11-01 00:00:00,0,0,0,FCU 02/01
2025-11-02 00:00:00,0,0,0,FCU 02/01
2025-11-03 00:00:00,0,0.173590807,0,FCU 02/01
2025-11-04 00:00:00,0,0,0,FCU 02/01
2025-11-05 00:00:00,0,0,0,FCU 02/01
2025-11-06 00:00:00,0,0,0,FCU 02/01
2025-11-07 00:00:00,0,0,0,FCU 02/01
2025-11-08 00:00:00,0,0,0,FCU 02/01
2025-11-09 00:00:00,0,0,0,FCU 02/01
2025-11-10 00:00:00,0,0.1800932713,0,FCU 02/01
2025-11-11 00:00:00,0,0,0,FCU 02/01
2025-11-12 00:00:00,0,0.0274596361,0.1760582561,FCU 02/01
2025-11-13 00:00:00,0,0,0,FCU 02/01
2025-11-14 00:00:00,0,0,0,FCU 02/01
2025-11-15 00:00:00,0,0,0,FCU 02/01
2025-11-16 00:00:00,0,0,0,FCU 02/01
2025-11-17 00:00:00,0,0.1999972222,1.5022501042,FCU 02/01
2025-11-18 00:00:00,0,0,0,FCU 02/01
2025-11-19 00:00:00,0,0,0,FCU 02/01
2025-11-20 00:00:00,0,0,0,FCU 02/01
2025-11-21 00:00:00,0,0,0,FCU 02/01
2025-11-22 00:00:00,0,0,0,FCU 02/01
2025-11-23 00:00:00,0,0,0,FCU 02/01
2025-11-24 00:00:00,0,0.2000009306,1.6254113396,FCU 02/01
2025-11-25 00:00:00,,,,FCU 02/01
2025-11-26 00:00:00,,,,FCU 02/01
2025-11-27 00:00:00,,,,FCU 02/01
2025-11-28 00:00:00,,,,FCU 02/01
2025-11-29 00:00:00,,,,FCU 02/01
2025-11-30 00:00:00,,,,FCU 02/01
2025-12-01 00:00:00,,,,FCU 02/01
2025-12-02 00:00:00,,,,FCU 02/01
2025-12-03 00:00:00,,,,FCU 02/01
2025-12-04 00:00:00,,,,FCU 02/01
2025-12-05 00:00:00,,,,FCU 02/01
2025-12-06 00:00:00,,,,FCU 02/01
2025-12-07 00:00:00,,,,FCU 02/01
2025-12-08 00:00:00,,,,FCU 02/01
2025-12-09 00:00:00,,,,FCU 02/01
2025-12-10 00:00:00,,,,FCU 02/01
2025-12-11 00:00:00,,,,FCU 02/01
2025-12-12 00:00:00,,,,FCU 02/01
2025-12-13 00:00:00,,,,FCU 02/01
2025-12-14 00:00:00,,,,FCU 02/01
2025-12-15 00:00:00,,,,FCU 02/01
2025-12-16 00:00:00,,,,FCU 02/01
2025-12-17 00:00:00,,,,FCU 02/01
2025-12-18 00:00:00,,,,FCU 02/01
2025-12-19 00:00:00,,,,FCU 02/01
2025-12-20 00:00:00,,,,FCU 02/01
2025-12-21 00:00:00,,,,FCU 02/01
2025-12-22 00:00:00,,,,FCU 02/01
2025-12-23 00:00:00,,,,FCU 02/01
2025-12-24 00:00:00,,,,FCU 02/01
2025-12-25 00:00:00,,,,FCU 02/01
2025-12-26 00:00:00,,,,FCU 02/01
2025-12-27 00:00:00,,,,FCU 02/01
2025-12-28 00:00:00,,,,FCU 02/01
2025-12-29 00:00:00,,,,FCU 02/01
